Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Democratic Republic of the Congo,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 2001 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Congolese franc Data last updated: 08/2021,"8,198.84","7,341.10","6,352.38","5,962.10","6,126.79","6,008.25","5,537.21","5,322.64","5,120.25","4,703.67","4,604.88","4,740.62","5,005.05","5,342.31","5,670.07","5,971.77","6,345.57","6,740.64","6,933.09","7,425.89","7,936.40","8,498.84","9,219.71","10,092.84","10,790.88","11,049.79","11,461.61","12,128.17","12,660.60","12,880.32","13,506.51",2020
Republic of Congo,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,"2,562.63","2,669.76","2,704.88","2,666.98","2,772.72","2,869.64","2,840.83","3,095.08","2,981.25","3,331.62","3,170.95","3,202.19","3,216.88","3,210.54","3,506.27","3,786.29","3,535.86","3,758.85","4,196.28","4,613.02","4,714.78","5,183.77","5,146.83","5,492.53","5,297.51","4,730.57","4,523.68","4,304.46","4,285.90","3,935.78","3,929.32",2018
Costa Rica,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017. As of January 2021, national accounts data reflect an updated series (including for all historical years) with 2017 as the benchmark year. Chain-weighted: No Primary domestic currency: Costa Rican colón Data last updated: 09/2021","10,804.74","11,798.89","12,636.28","13,207.32","13,755.94","13,941.71","14,705.18","15,757.39","16,421.53","17,056.83","17,652.32","18,255.47","19,043.59","19,886.20","20,677.01","22,191.95","24,015.04","25,152.92","24,933.22","26,269.73","27,426.42","28,765.54","29,483.18","30,527.50","31,642.39","32,972.74","34,343.65","35,242.04","36,037.22","34,572.78","35,921.12",2020
Côte d'Ivoire,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. The authorities' rebasing exercise to 2015 is ongoing Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,"14,148.11","14,112.74","14,087.34","14,111.49","14,897.74","16,109.77","17,031.68","17,871.45","18,160.53","17,784.90","17,806.48","17,509.54","17,271.49","17,484.23","17,785.18","18,054.77","18,373.45","18,840.66","19,453.25","19,845.75","18,881.77","20,933.09","22,874.00","24,885.55","27,086.15","29,032.90","31,169.62","33,317.29","35,393.53","36,099.56","38,249.72",2017
Croatia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2020 Notes: The authorities produce data from 1995 only; Earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices. Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Croatian kuna Data last updated: 09/2021",n/a,217.646,200.235,212.049,226.116,239.397,255.306,260.06,257.627,267.286,275.192,290.817,307.207,319.971,333.757,350.421,368.181,375.151,347.677,343.1,342.419,334.229,332.736,331.599,339.662,351.543,363.635,373.845,384.528,353.655,375.935,2020
Cyprus,"Gross domestic product, constant prices",National currency,Billions,"Source: Eurostat Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",8.882,9.714,9.782,10.359,11.387,11.529,11.833,12.557,13.184,13.971,14.523,15.063,15.459,16.236,17.024,17.826,18.735,19.418,19.027,19.41,19.488,18.816,17.583,17.262,17.817,18.964,19.942,20.987,21.632,20.528,21.507,2020
Czech Republic,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Czech koruna Data last updated: 09/2021",n/a,n/a,n/a,n/a,"2,843.01","2,971.65","2,956.25","2,945.71","2,986.48","3,105.97","3,200.49","3,250.73","3,367.23","3,529.33","3,762.33","4,016.92","4,240.68","4,354.60","4,151.79","4,252.88","4,327.75","4,293.77","4,291.80","4,388.89","4,625.38","4,742.74","4,987.88","5,147.42","5,303.36","4,996.11","5,185.29",2019
Denmark,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1980 Primary domestic currency: Danish krone Data last updated: 09/2021","1,306.60","1,332.20","1,332.30","1,403.30","1,445.80","1,487.80","1,536.30","1,570.30","1,616.60","1,677.20","1,691.00","1,698.90","1,705.50","1,751.00","1,792.00","1,862.10","1,879.00","1,869.40","1,777.70","1,810.90","1,835.10","1,839.30","1,856.50","1,886.50","1,930.70","1,993.40","2,049.60","2,090.40","2,134.60","2,090.60","2,170.04",2020
Djibouti,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2018. 2019 actual data delayed; annual data only National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Djibouti franc Data last updated: 09/2021,246.3,247.684,230.963,227.821,219.891,211.684,209.111,209.349,215.46,216.997,220.888,228.032,235.298,241.836,249.36,261.392,274.504,290.441,295.136,307.376,329.792,345.761,363.052,388.689,418.521,447.476,470.194,510.137,548.397,553.881,581.575,2018
Dominica,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,0.779,0.795,0.812,0.812,0.837,0.863,0.882,0.915,0.918,0.94,0.939,0.913,0.971,1,1.007,1.054,1.121,1.2,1.186,1.194,1.192,1.179,1.167,1.223,1.189,1.222,1.141,1.182,1.27,1.131,1.169,2018
Dominican Republic,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Dominican peso Data last updated: 09/2021",593.35,659.929,708.529,726.954,768.284,814.211,886.556,946.083,"1,002.28","1,049.01","1,074.81","1,123.12","1,108.01","1,136.48","1,243.63","1,357.73","1,458.42","1,505.22","1,519.47","1,646.18","1,697.77","1,743.90","1,828.92","1,957.87","2,093.49","2,232.90","2,337.10","2,500.29","2,626.61","2,450.09","2,683.36",2020
Ecuador,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2020 Notes: The national accounts have been updated from 2002 onwards. Prior to 2002 the data are adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021,31.725,32.871,33.529,34.956,35.744,36.363,37.936,39.176,37.319,37.726,39.241,40.849,41.961,45.407,47.809,49.915,51.008,54.25,54.558,56.481,60.925,64.362,67.546,70.105,70.175,69.314,70.956,71.871,71.879,66.308,68.162,2020
Egypt,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Economy and/or Planning. Ministry of Planning Latest actual data: FY2019/20. Fiscal Year data can be derived from the calendar year basis by summing the quarterly observations as follows: FY(t) = CY(t-1):Q3 + CY(t-1):Q4 + CY(t):Q1 + CY(t):Q2 Notes: Data prior to 1987 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Data refer to fiscal years Start/end months of reporting year: July/June Base year: FY2016/17 Chain-weighted: No Primary domestic currency: Egyptian pound Data last updated: 09/2021,"1,140.09","1,143.51","1,176.67","1,225.95","1,280.92","1,343.41","1,422.93","1,530.26","1,623.75","1,711.16","1,771.47","1,827.90","1,886.27","1,963.46","2,051.26","2,191.64","2,346.98","2,514.94","2,632.48","2,767.98","2,816.82","2,879.53","2,974.61","3,061.35","3,195.19","3,334.07","3,470.00","3,654.40","3,857.50","3,995.20","4,128.36",2020
El Salvador,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2020 Notes: The output gap does not close by 2026 because desk assumes a much deeper hit to the potential in 2020 due to long and strict lockdown, and political uncertainty impacting both the actual and potential GDP medium-term growth. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: US dollar Data last updated: 09/2021",12.703,13.595,14.386,15.061,15.774,15.902,16.401,16.836,17.2,17.394,17.547,17.823,18.102,18.263,18.758,19.573,19.937,20.361,19.936,20.356,21.133,21.728,22.213,22.593,23.135,23.723,24.257,24.843,25.497,23.472,25.59,2020
Equatorial Guinea,"Gross domestic product, constant prices",National currency,Billions,"Source: Ministry of Economy and/or Planning. Ministry of Economy, Planning, and Public Investment, and Banque des Etats de l'Afrique Centrale (Central Bank) Latest actual data: 2020 Notes: Since 2006, IMF staff have estimated real GDP growth from hydrocarbon production and investment data and the government expenditure. The national authorities are considering the adoption of the IMF staff estimates. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021",58.689,78.057,86.222,100.714,127.414,194.533,482.388,602.092,761.013,"1,601.97","2,563.53","3,066.52","3,509.79","4,576.46","4,952.20","5,274.15","6,080.15","7,162.36","7,258.58","6,610.81","7,042.09","7,627.49","7,312.23","7,342.58","6,673.67","6,085.29","5,740.41","5,382.40","5,060.59","4,812.96","5,012.51",2020
Eritrea,"Gross domestic product, constant prices",National currency,Billions,Source: IMF Staff Estimates Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Eritrean nakfa Data last updated: 07/2021,n/a,15.019,16.954,20.5,20.977,22.893,24.702,25.187,25.234,22.117,24.053,24.776,24.118,24.468,25.098,24.855,25.21,20.31,22.784,25.256,31.749,32.348,28.966,37.926,30.105,32.33,29.093,32.884,34.145,33.931,34.919,2018
Estonia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data from 2003 onwards reflect methodological revisions. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2010 Primary domestic currency: Euro Data last updated: 09/2021",n/a,n/a,9.198,9.047,9.242,9.699,10.965,11.44,11.392,12.541,13.294,14.194,15.273,16.312,17.866,19.61,21.097,20.014,17.086,17.504,18.775,19.381,19.664,20.256,20.631,21.282,22.515,23.446,24.406,23.686,25.699,2020
Eswatini,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Updated methodology has been applied to the series. Prior to 2000, the data are adjusted using previous historical data as proxies to produce smooth series with the use of splicing technique. Historical data are updated on a continual basis as more information becomes available. Prior to 1990, trade data are calculated from external sector statistics. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2011 Chain-weighted: No Primary domestic currency: Swazi lilangeni Data last updated: 08/2021",18.387,18.981,19.57,20.04,21.007,21.814,22.491,23.077,23.758,24.176,24.431,25.501,26.491,27.451,29.097,30.841,32.209,32.473,32.982,34.233,35.002,36.889,38.314,38.664,39.516,39.951,40.76,41.727,42.663,41.631,42.268,2019
Ethiopia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs. Data refer to fiscal years (July/June). Data for 2011 represent fiscal year 2010/11. Start/end months of reporting year: July/June Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Ethiopian birr Data last updated: 09/2021,246.746,224.767,254.803,263.686,279.827,317.695,326.719,313.045,332.747,365.481,392.527,398.807,390.432,436.113,491.063,547.536,612.145,680.705,748.775,828.146,922.554,"1,002.82","1,102.10","1,215.61","1,342.04","1,449.40","1,597.38","1,720.42","1,875.89","1,989.52","2,029.08",2020
Fiji,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Fiji Islands Bureau of Statistics Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Fijian dollar Data last updated: 09/2021,5.361,5.688,5.836,6.133,6.293,6.595,6.437,6.52,7.088,6.967,7.099,7.327,7.385,7.784,7.683,7.829,7.758,7.836,7.726,7.958,8.173,8.288,8.681,9.167,9.58,9.814,10.339,10.734,10.686,9.005,8.645,2020
Finland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Downloaded through Haver Analytics Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021",132.305,127.946,127.099,132.137,137.709,142.759,151.802,160.086,167.097,176.744,181.356,184.452,188.148,195.659,201.098,209.197,220.283,222.01,204.084,210.586,215.95,212.933,211.012,210.242,211.385,217.328,224.266,226.827,229.874,223.266,229.905,2020
France,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2021","1,495.88","1,518.07","1,509.54","1,544.80","1,579.32","1,601.25","1,638.05","1,697.31","1,752.97","1,824.65","1,861.27","1,882.13","1,897.99","1,947.06","1,980.55","2,032.60","2,081.83","2,084.21","2,026.18","2,063.42","2,109.58","2,117.46","2,130.48","2,151.24","2,173.66","2,195.96","2,249.59","2,290.99","2,333.09","2,146.72","2,281.83",2020
Gabon,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance or Treasury Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,"3,241.82","3,141.75","3,265.75","3,386.99","3,555.46","3,684.35","3,895.77","4,031.26","3,670.73","3,601.61","3,679.03","3,685.90","3,748.59","3,790.57","3,760.76","3,689.00","3,922.62","3,990.57","3,899.62","4,144.15","4,438.04","4,671.08","4,928.79","5,147.39","5,347.05","5,458.89","5,484.69","5,530.94","5,747.49","5,641.85","5,725.41",2019
The Gambia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Gambian dalasi Data last updated: 09/2021,26.876,27.35,28.398,27.433,28.344,29.168,29.581,31.504,33.52,35.372,37.406,36.192,38.68,41.405,40.431,40.207,41.43,44.022,46.957,49.731,45.688,48.082,49.464,48.767,50.746,51.733,54.228,58.151,61.769,61.644,64.64,2020
Georgia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 1996 cannot be confirmed by national sources. Data prior to 2010 are based on staff estimates. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Georgian lari Data last updated: 09/2021",n/a,n/a,n/a,10.714,10.992,12.146,13.424,13.841,14.238,14.5,15.197,16.028,17.801,18.832,20.638,22.582,25.423,26.038,25.087,26.641,28.602,30.437,31.537,32.938,33.935,34.921,36.612,38.386,40.298,37.816,40.724,2020
Germany,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data until 1990 refers to German federation only (West Germany). National accounts data until 1990 do not include FISIM. Data from 1991 refer to United Germany and include FISIM. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1991 Primary domestic currency: Euro Data last updated: 09/2021","2,218.72","2,261.31","2,239.22","2,292.94","2,328.27","2,347.26","2,389.17","2,437.44","2,483.43","2,555.54","2,598.65","2,593.43","2,575.20","2,605.69","2,624.61","2,724.70","2,805.95","2,832.87","2,671.51","2,783.32","2,892.27","2,904.61","2,917.17","2,981.84","3,026.19","3,093.67","3,176.58","3,211.09","3,244.81","3,096.84","3,191.32",2020
Ghana,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: No Primary domestic currency: Ghanaian cedi Data last updated: 08/2021,36.108,37.723,39.524,40.91,42.642,44.674,47.264,49.631,51.879,53.745,55.802,58.379,61.363,64.679,68.709,72.705,75.668,82.485,87.172,93.944,107.049,116.071,124.478,128.033,130.748,135.159,146.146,155.207,165.308,165.993,173.815,2019
Greece,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2020. For quarterly data, latest actual is 2021Q2. Notes: The National Statistical Office has significantly and repeatedly revised national accounts data over the course of the past several years. Official data are only available from 1995. Data prior to 1995 came from European Commission Macro Forecasts (AMECO database). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2021",147.312,148.339,145.967,148.886,152.012,156.363,163.374,169.738,174.952,181.811,189.321,196.749,208.149,218.684,219.995,232.428,240.039,239.234,228.946,216.277,194.326,180.563,175.613,176.839,176.11,175.248,177.492,180.259,183.606,168.463,179.402,2020
Grenada,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts. GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Eastern Caribbean dollar Data last updated: 09/2021,1.13,1.121,1.099,1.119,1.144,1.194,1.252,1.4,1.498,1.574,1.542,1.595,1.746,1.735,1.965,1.886,2.002,2.021,1.887,1.878,1.892,1.87,1.914,2.055,2.187,2.269,2.37,2.473,2.49,2.165,2.223,2019
Guatemala,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. Also use data from Haver. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2001 Primary domestic currency: Guatemalan quetzal Data last updated: 08/2021",192.428,201.28,208.123,215.408,224.886,231.183,240.661,251.731,261.045,267.572,273.99,285.622,293.096,301.797,311.047,328.388,348.251,361.006,363.288,373.481,390.082,402.359,416.383,434.887,452.684,464.805,479.121,495.038,514.18,506.368,534.218,2020
Guinea,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Guinean franc Data last updated: 08/2021,"20,201.56","20,862.66","21,915.91","22,792.69","23,859.40","24,923.90","26,215.36","27,170.68","28,206.43","28,912.45","29,970.17","31,518.01","31,911.55","32,658.31","33,637.17","34,477.00","36,722.00","38,243.00","37,655.00","39,243.50","41,446.60","43,897.47","45,629.52","47,316.24","49,124.52","54,440.32","60,049.87","63,868.14","67,474.25","72,255.81","75,993.96",2018
Guinea-Bissau,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 Notes: Data prior to 1997 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,366.542,377.887,386.488,397.939,413.919,429.427,455.166,353.001,412.358,416.895,436.847,452.809,451.515,456.806,486.771,499.751,512.544,535.734,548.849,579.614,626.476,615.746,635.794,641.927,681.303,717.457,751.816,777.062,812.03,800.662,827.083,2017
Guyana,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Components of GDP by expenditure after 2007 (private and public consumption, private and public investment) are estimates because authorities stopped producing the data. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2012. Projected real GDP growth in 2020 is potentially overstated and subject to large subsequent revisions because of the very high growth rate of oil GDP, which in turn is elevated on account of the very high oil price in the base year, 2012. A rebasing exercise is expected in 2021 that will resolve this problem, once the data becomes available Chain-weighted: No Primary domestic currency: Guyanese dollar Data last updated: 09/2021",389.249,419.446,453.847,492.341,517.229,558.377,592.91,582.789,600.189,592.114,605.498,612.458,608.465,617.995,605.993,637.061,681.785,695.262,718.335,749.732,790.496,830.327,860.661,875.176,881.192,914.743,948.904,991.044,"1,044.09","1,498.06","1,803.79",2020
Haiti,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: October/September Base year: FY2011/12. Fiscal year 2011-2012 Chain-weighted: No Primary domestic currency: Haitian gourde Data last updated: 09/2021,455.685,445.427,423.505,374.367,411.398,428.442,440.03,449.631,461.817,465.835,464.238,469.121,485.45,479.053,493.77,502.504,526.154,540.139,571.956,539.631,567.143,569.992,594.643,604.887,620.387,631.631,647.487,658.286,647.196,625.558,621.179,2020
Honduras,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Honduran lempira Data last updated: 09/2021,77.64,82.007,87.116,85.98,89.488,92.69,97.319,100.143,99.406,106.654,109.559,113.672,118.841,126.247,133.886,142.678,151.508,157.919,154.079,159.828,165.958,172.81,177.634,183.067,190.096,197.497,207.061,215.023,220.728,200.94,210.786,2019
Hong Kong SAR,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Data retrieved from Haver Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2019 Chain-weighted: Yes, from 1980 Primary domestic currency: Hong Kong dollar Data last updated: 09/2021","1,104.21","1,173.05","1,245.79","1,320.99","1,352.35","1,409.94","1,481.84","1,394.67","1,429.63","1,539.19","1,547.82","1,573.46","1,621.55","1,762.63","1,892.85","2,025.97","2,156.95","2,202.84","2,148.67","2,294.09","2,404.54","2,445.43","2,521.27","2,590.92","2,652.78","2,710.34","2,813.09","2,893.16","2,844.56","2,671.57","2,843.49",2020
Hungary,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: We maintain data only after 1995, as this is what the Statistical office provides. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Changes in inventories is an estimate. Primary domestic currency: Hungarian forint Data last updated: 09/2021","21,766.36","21,099.40","20,977.84","21,596.09","22,144.89","22,163.14","22,859.75","23,751.28","24,480.69","25,577.23","26,619.27","27,881.36","29,020.18","30,419.79","31,710.69","32,988.95","33,068.84","33,418.81","31,179.90","31,529.79","32,140.56","31,696.82","32,286.61","33,652.00","34,937.31","35,684.97","37,225.41","39,235.48","41,056.51","39,021.44","41,987.07",2020
Iceland,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1990 Primary domestic currency: Icelandic króna Data last updated: 09/2021","1,188.05","1,147.97","1,163.05","1,205.02","1,206.42","1,261.52","1,334.33","1,432.58","1,490.23","1,564.52","1,627.31","1,636.42","1,671.48","1,801.90","1,912.25","2,033.05","2,204.94","2,253.66","2,080.94","2,021.99","2,059.32","2,081.22","2,175.97","2,212.68","2,310.85","2,456.52","2,559.57","2,684.79","2,750.15","2,571.29","2,666.32",2020
India,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. The original data is in fiscal years, which begins in April and ends in March, to match with authorities' reporting methods. Latest actual data: FY2020/21. Latest quarterly data is as of June 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: April/March Base year: FY2011/12. The base year is by Fiscal Year, which is April to March (e.g. FY2004: April 2004 - March 2005). Growth rates of real GDP calculated from 1998 to 2011 are as per national accounts with base year 2004/05, and thereafter are as per national accounts with base year 2011/12 Chain-weighted: No Primary domestic currency: Indian rupee Data last updated: 09/2021","23,315.39","24,593.64","25,761.94","27,477.40","29,558.71","31,790.31","33,077.72","35,123.36","38,095.83","39,610.14","41,568.62","43,192.88","46,624.11","50,283.62","54,952.32","60,043.16","65,928.23","68,493.43","74,301.57","81,924.89","87,363.30","92,130.20","98,013.70","105,276.70","113,694.90","123,081.90","131,445.80","140,033.20","145,692.70","135,127.40","147,960.04",2021
